Date,LocationID,Temperature_Celsius,Humidity_Percent,Wind_Speed_KMH
20250101,1,10,75,15
20250101,2,8,80,20
20250102,1,12,70,10
20250102,2,NULL,78,22
20250103,1,11,72,18
20250103,2,9,81,NULL
20250104,1,10,75,15
20250104,2,8,80,20
20250105,1,12,70,10
20250105,2,10,78,22
20250106,1,11,72,18
20250106,2,9,81,17
20250107,1,10,75,15
20250107,2,8,80,20
20250108,1,12,70,10
20250108,2,10,78,22
20250109,1,11,72,18
20250109,2,9,81,17
20250110,1,10,75,15
20250110,2,8,80,20
20250111,1,12,70,10
20250111,2,10,78,22
20250112,1,11,72,18
20250112,2,9,81,17
20250113,1,10,75,15
20250113,2,8,80,20
20250114,1,12,70,10
20250114,2,10,78,22
20250115,1,11,72,18
20250115,2,9,81,17
20250116,1,10,75,15
20250116,2,8,80,20
20250117,1,12,70,10
20250117,2,10,78,22
20250118,1,11,72,18
20250118,2,9,81,17
20250119,1,10,75,15
20250119,2,8,80,20
20250120,1,12,70,10
20250120,2,10,78,22
20250121,1,11,72,18
20250121,2,9,81,17
20250122,1,10,75,15
20250122,2,8,80,20
20250123,1,12,70,10
20250123,2,10,78,22
20250124,1,11,72,18
20250124,2,9,81,17
20250125,1,10,75,15
20250125,2,8,80,20